"Frame number","Original","Translation","Count","Part of","Files","File count"
"1","FEATS & SPECIAL ABILITIES","","1","","""Character Info""","1"
"2","LANGUAGES","","1","","""Character Info""","1"
"3","SKILLS","","1","","""Character Info""","1"
"4","CHARACTER","","1","","""Character Info""","1"
"5","ABILITIES","","1","","""Character Info""","1"
"6","MALE","","1","","""Character Info""","1"
"7","FEMALE","","1","","""Character Info""","1"
"8","Size|Modifier","","7","","""Character Info"", ""Combat""","2"
"9","Size","","1","","""Character Info""","1"
"10","Race","","1","","""Character Info""","1"
"11","Name","","1","","""Character Info""","1"
"12","rks","","1","","""Character Info""","1"
"13","hp","","4","","""Character Info"", ""Combat""","2"
"14","SURVIVAL","","1","","""Character Info""","1"
"15","Class|Skills","","1","Class|Skills|+3","""Character Info""","1"
"16","Trained","","1","","""Character Info""","1"
"17","Track","","1","","""Character Info""","1"
"18","INT","","11","","""Character Info""","1"
"19","CHA","","9","","""Character Info""","1"
"20","Use Magical Device","","1","","""Character Info""","1"
"21","STR","","9","","""Character Info"", ""Combat""","2"
"22","Swim","","1","","""Character Info""","1"
"23","WIS","","8","","""Character Info"", ""Combat""","2"
"24","Knowledge: The Planes","","1","","""Character Info""","1"
"25","Knowledge: Nature","","1","","""Character Info""","1"
"26","Knowledge: Religion","","1","","""Character Info""","1"
"27","Knowledge: Dungeoneering","","1","","""Character Info""","1"
"28","Knowledge: Arcana","","1","","""Character Info""","1"
"29","Survival","","1","","""Character Info""","1"
"30","DEX","","16","","""Character Info"", ""Combat""","2"
"31","Stealth","","1","","""Character Info""","1"
"32","Spellcraft","","1","","""Character Info""","1"
"33","Sleight of Hand","","1","","""Character Info""","1"
"34","Sense Motive","","1","","""Character Info""","1"
"35","+ Size|  diff x4","","1","","""Character Info""","1"
"36","Ride","","1","","""Character Info""","1"
"37","Perception","","1","","""Character Info""","1"
"38","Linguistics","","1","","""Character Info""","1"
"39","Intimidate","","1","","""Character Info""","1"
"40","Heal","","1","","""Character Info""","1"
"41","Handle Animal","","1","","""Character Info""","1"
"42","Fly","","1","","""Character Info""","1"
"43","Escape Artist","","1","","""Character Info""","1"
"44","Disguise","","1","","""Character Info""","1"
"45","Disable Device","","1","","""Character Info""","1"
"46","Diplomacy","","1","","""Character Info""","1"
